Org_Identifier,Org_FormalName,Project_Identifier,Project_Name,Project_QAPPApproved,Project_QAPPApprovalAgency,ProjectAttachment_FileName,ProjectAttachment_FileType,Location_Identifier,Location_Name,Location_Type,Location_Description,Location_State,Location_CountryName,Location_CountyName,Location_CountryCode,Location_StatePostalCode,Location_CountyCode,Location_HUCEightDigitCode,Location_HUCTwelveDigitCode,Location_TribalLandIndicator,Location_TribalLand,Location_Latitude,Location_Longitude,Location_HorzCoordReferenceSystemDatum,Location_LatitudeStandardized,Location_LongitudeStandardized,Location_HorzCoordStandardizedDatum,AlternateLocation_IdentifierCount,Activity_ActivityIdentifier,Activity_ActivityIdentifierUserSupplied,Activity_TypeCode,Activity_Media,Activity_MediaSubdivision,Activity_BottomDepthSamplingComponent,ActivityBiological_AssemblageSampled,ActivityBiological_ToxicityTestType,Activity_ConductingOrganization,Activity_Comment,ActivityLocation_Latitude,ActivityLocation_Longitude,ActivityLocation_HorzCoordReferenceSystemDatum,ActivityLocation_SourceMapScale,ActivityLocation_LatitudeStandardized,ActivityLocation_LongitudeStandardized,ActivityLocation_HorzCoordStandardizedDatum,ActivityLocation_HorzAccuracyMeasure,ActivityLocation_HorzAccuracyMeasureUnit,ActivityLocation_HorizontalAccuracyHorzCollectionMethod,ActivityLocation_Description,Activity_StartDate,Activity_StartTime,Activity_StartTimeZone,Activity_EndDate,Activity_EndTime,Activity_EndTimeZone,Activity_DepthHeightMeasure,Activity_DepthHeightMeasureUnit,Activity_BottomDepthAltitudeReferencePoint,Activity_ActivityRelativeDepth,Activity_TopDepthMeasure,Activity_TopDepthMeasureUnit,Activity_BottomDepthMeasure,Activity_BottomDepthMeasureUnit,SampleCollectionMethod_Identifier,SampleCollectionMethod_IdentifierContext,SampleCollectionMethod_Name,SampleCollectionMethod_QualifierTypeName,SampleCollectionMethod_Description,SampleCollectionMethod_EquipmentName,SampleCollectionMethod_EquipmentComment,SamplePrepMethod_Identifier,SamplePrepMethod_IdentifierContext,SamplePrepMethod_Name,SamplePrepMethod_QualifierType,SamplePrepMethod_Description,SamplePrepMethod_ContainerLabel,SamplePrepMethod_ContainerType,SamplePrepMethod_ContainerColor,SamplePrepMethod_ChemicalPreservativeUsed,SamplePrepMethod_ThermalPreservativeUsed,SamplePrepMethod_TransportStorageDescription,Activity_HydrologicCondition,Activity_HydrologicEvent,ActivityAttachment_FileName,ActivityAttachment_FileType,ActivityAttachment_FileDownload,Result_DataLoggerLine,Result_ResultDetectionCondition,Result_Characteristic,Result_CharacteristicUserSupplied,Result_CASNumber,Result_MethodSpeciation,Result_SampleFraction,ResultBiological_Intent,ResultBiological_IndividualIdentifier,ResultBiological_Taxon,ResultBiological_TaxonUserSupplied,ResultBiological_TaxonUserSuppliedReference,ResultBiological_UnidentifiedSpeciesIdentifier,ResultBiological_SampleTissueAnatomy,ResultBiological_GroupSummaryCount,GroupSummaryWeight_Measure,GroupSummaryWeight_MeasureUnit,ResultDepthHeight_Measure,ResultDepthHeight_MeasureUnit,ResultDepthHeight_AltitudeReferencePoint,ResultDepthHeight_SamplingPointName,ResultDepthHeight_SamplingPointType,ResultDepthHeight_SamplingPointPlaceInSeries,ResultDepthHeight_SamplingPointComment,ResultDepthHeight_RecordIdentifierUserSupplied,Result_MeasureIdentifier,Result_Measure,Result_MeasureUnit,Result_MeasureQualifierCode,Result_MeasureStatusIdentifier,Result_StatisticalBase,Result_StatisticalNValue,Result_MeasureType,Result_WeightBasis,Result_TimeBasis,Result_MeasureTemperatureBasis,Result_MeasureParticleSizeBasis,DataQuality_PrecisionValue,DataQuality_BiasValue,DataQuality_ConfidenceIntervalValue,DataQuality_UpperConfidenceLimitValue,DataQuality_LowerConfidenceLimitValue,DataQuality_ResultComment,DetectionLimit_TypeA,DetectionLimit_MeasureA,DetectionLimit_MeasureUnitA,DetectionLimit_CommentA,DetectionLimit_TypeB,DetectionLimit_MeasureB,DetectionLimit_MeasureUnitB,DetectionLimit_CommentB,LabInfo_LabSampleSplitRatio,LabInfo_LabAccreditationIndicator,LabInfo_LabAccreditationAuthority,LabInfo_TaxonAccreditationIndicator,LabInfo_TaxonAccreditationAuthority,ResultAnalyticalMethod_Identifier,ResultAnalyticalMethod_IdentifierContext,ResultAnalyticalMethod_Name,ResultAnalyticalMethod_QualifierType,ResultAnalyticalMethod_Description,Result_ComparableMethodIdentifier,Result_ComparableMethodIdentifierContext,Result_ComparableMethodModification,LabInfo_Name,LabInfo_AnalysisStartDate,LabInfo_AnalysisStartTime,LabInfo_AnalysisStartTimeZone,LabInfo_AnalysisEndDate,LabInfo_AnalysisEndTime,LabInfo_AnalysisEndTimeZone,LabInfo_LaboratoryComment,LabSamplePrepMethod_Identifier,LabSamplePrepMethod_IdentifierContext,LabSamplePrepMethod_Name,LabSamplePrepMethod_QualifierType,LabSamplePrepMethod_Description,LabSamplePrepMethod_StartDate,LabSamplePrepMethod_StartTime,LabSamplePrepMethod_StartTimeZone,LabSamplePrepMethod_EndDate,LabSamplePrepMethod_EndTime,LabSamplePrepMethod_EndTimeZone,LabSamplePrepMethod_DilutionFactor,ResultAttachment_FileName,ResultAttachment_FileType,ResultAttachment_FileDownload,ProviderName,Result_CharacteristicComparable,Result_CharacteristicGroup,Org_Type,LastChangeDate,USGSpcode,USGSSampleAquifer
USGS,U.S. Geological Survey,"[""USGS"",""000031900""]",,,,,,USGS-09111250,"COAL CREEK ABV MCCORMICK DTCH AT CRESTED BUTTE, CO",Stream,,Colorado,United States of America,Gunnison County,US,CO,,14020001,140200010204,,,38.8715555555556,-106.985297222222,NAD83,38.8715555555556,-106.985297222222,NAD83,,4600baf5-a570-4aef-9ad6-b06e643e1c98,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey,,,,,,,,,,,,,2019-09-03,12:15:00,MDT,,,,,,,,,,,,15,USDOI/USGS,"EWT, multiple verticals",,"Depth-integrated: 10 or more equal-width verticals, non-isokinetic transit rate limited by velocity (EWT)",Open-mouth bottle,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,Specific conductance,"Specific conductance, water, unfiltered, normalized to 25 degrees Celsius",,,Unfiltered,,,,,,,,,,,,,,,,,,,58945d72-535c-4aa0-b55a-b7371859e377,249,uS/cm,,Accepted,,,Actual,,,25 Deg C,,,,,,,,,,,,,,,,,,,,,SC001,USDOI/USGS,Specific conductance sensor,,"DESCRIPTION: Specific electrical conductance, field, contacting-type sensor; CITATION(S): U.S. Geological Survey, [variously dated], Specific electrical conductance, in National field manual for the collection of water-quality data: U.S. Geological Survey Techniques of Water-Resources Investigations, book 9, chap. A6.3, available online at https://www.usgs.gov/mission-areas/water-resources/science/national-field-manual-collection-water-quality-data-nfm. |<--->| USGS | I-1780-77",,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,,,,,,,,,,,USGS,,Physical,Federal/US Government,2025-04-21,00095,
USGS,U.S. Geological Survey,"[""USGS"",""000031900""]",,,,,,USGS-09111250,"COAL CREEK ABV MCCORMICK DTCH AT CRESTED BUTTE, CO",Stream,,Colorado,United States of America,Gunnison County,US,CO,,14020001,140200010204,,,38.8715555555556,-106.985297222222,NAD83,38.8715555555556,-106.985297222222,NAD83,,d5831dc7-08d5-44d2-ae5a-d7576405cf2f,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey,,,,,,,,,,,,,2020-12-01,12:00:00,MST,,,,,,,,,,,,40,USDOI/USGS,Multiple verticals,,Depth-integrated: Multiple verticals,Open-mouth bottle,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,Specific conductance,"Specific conductance, water, unfiltered, normalized to 25 degrees Celsius",,,Unfiltered,,,,,,,,,,,,,,,,,,,767b7bcf-f572-4b1a-9ead-9d8daf377b24,248,uS/cm,,Accepted,,,Actual,,,25 Deg C,,,,,,,,,,,,,,,,,,,,,SC001,USDOI/USGS,Specific conductance sensor,,"DESCRIPTION: Specific electrical conductance, field, contacting-type sensor; CITATION(S): U.S. Geological Survey, [variously dated], Specific electrical conductance, in National field manual for the collection of water-quality data: U.S. Geological Survey Techniques of Water-Resources Investigations, book 9, chap. A6.3, available online at https://www.usgs.gov/mission-areas/water-resources/science/national-field-manual-collection-water-quality-data-nfm. |<--->| USGS | I-1780-77",,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,,,,,,,,,,,USGS,,Physical,Federal/US Government,2025-04-21,00095,
USGS,U.S. Geological Survey,"[""USGS"",""000031900""]",,,,,,USGS-09111250,"COAL CREEK ABV MCCORMICK DTCH AT CRESTED BUTTE, CO",Stream,,Colorado,United States of America,Gunnison County,US,CO,,14020001,140200010204,,,38.8715555555556,-106.985297222222,NAD83,38.8715555555556,-106.985297222222,NAD83,,333a5a88-a133-4579-9cca-5b101b137247,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey,,,,,,,,,,,,,2021-06-07,11:45:00,MDT,,,,,,,,,,,,10,USDOI/USGS,EWI,,Depth-integrated: Equal-width-increment (EWI),US DH-81,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,Specific conductance,"Specific conductance, water, unfiltered, normalized to 25 degrees Celsius",,,Unfiltered,,,,,,,,,,,,,,,,,,,51088084-98c6-4e1c-9c3c-2de48d9b4e7b,66,uS/cm,,Accepted,,,Actual,,,25 Deg C,,,,,,,,,,,,,,,,,,,,,SC001,USDOI/USGS,Specific conductance sensor,,"DESCRIPTION: Specific electrical conductance, field, contacting-type sensor; CITATION(S): U.S. Geological Survey, [variously dated], Specific electrical conductance, in National field manual for the collection of water-quality data: U.S. Geological Survey Techniques of Water-Resources Investigations, book 9, chap. A6.3, available online at https://www.usgs.gov/mission-areas/water-resources/science/national-field-manual-collection-water-quality-data-nfm. |<--->| USGS | I-1780-77",,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,,,,,,,,,,,USGS,,Physical,Federal/US Government,2025-04-21,00095,
USGS,U.S. Geological Survey,"[""USGS"",""000031900""]",,,,,,USGS-09111250,"COAL CREEK ABV MCCORMICK DTCH AT CRESTED BUTTE, CO",Stream,,Colorado,United States of America,Gunnison County,US,CO,,14020001,140200010204,,,38.8715555555556,-106.985297222222,NAD83,38.8715555555556,-106.985297222222,NAD83,,8c0c4453-a98f-44ac-9a5a-40e581b80880,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey-Water Resources Discipline,Clean hands single person protocol.,,,,,,,,,,,,2023-05-15,13:30:00,MDT,,,,,,,,,,,,10,USDOI/USGS,EWI,,Depth-integrated: Equal-width-increment (EWI),"US DH-95, plastic bottle",,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,Specific conductance,"Specific conductance, water, unfiltered, normalized to 25 degrees Celsius",,,Unfiltered,,,,,,,,,,,,,,,,,,,6c0cd273-78e2-441e-95a2-ec940f6c5955,86,uS/cm,,Accepted,,,Actual,,,25 Deg C,,,,,,,,,,,,,,,,,,,,,SC001,USDOI/USGS,Specific conductance sensor,,"DESCRIPTION: Specific electrical conductance, field, contacting-type sensor; CITATION(S): U.S. Geological Survey, [variously dated], Specific electrical conductance, in National field manual for the collection of water-quality data: U.S. Geological Survey Techniques of Water-Resources Investigations, book 9, chap. A6.3, available online at https://www.usgs.gov/mission-areas/water-resources/science/national-field-manual-collection-water-quality-data-nfm. |<--->| USGS | I-1780-77",,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,,,,,,,,,,,USGS,,Physical,Federal/US Government,2025-04-21,00095,
USGS,U.S. Geological Survey,"[""USGS"",""000031900""]",,,,,,USGS-09111250,"COAL CREEK ABV MCCORMICK DTCH AT CRESTED BUTTE, CO",Stream,,Colorado,United States of America,Gunnison County,US,CO,,14020001,140200010204,,,38.8715555555556,-106.985297222222,NAD83,38.8715555555556,-106.985297222222,NAD83,,bf3fd20d-cf2b-4c4d-ae00-bf108b898632,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey-Water Resources Discipline,Clean hands single person protocol.,,,,,,,,,,,,2023-08-29,11:15:00,MDT,,,,,,,,,,,,40,USDOI/USGS,Multiple verticals,,Depth-integrated: Multiple verticals,Open-mouth bottle,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,Specific conductance,"Specific conductance, water, unfiltered, normalized to 25 degrees Celsius",,,Unfiltered,,,,,,,,,,,,,,,,,,,a22fc9af-ed4c-44ae-b830-c4961de4a023,403,uS/cm,,Accepted,,,Actual,,,25 Deg C,,,,,,,,,,,,,,,,,,,,,SC001,USDOI/USGS,Specific conductance sensor,,"DESCRIPTION: Specific electrical conductance, field, contacting-type sensor; CITATION(S): U.S. Geological Survey, [variously dated], Specific electrical conductance, in National field manual for the collection of water-quality data: U.S. Geological Survey Techniques of Water-Resources Investigations, book 9, chap. A6.3, available online at https://www.usgs.gov/mission-areas/water-resources/science/national-field-manual-collection-water-quality-data-nfm. |<--->| USGS | I-1780-77",,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,,,,,,,,,,,USGS,,Physical,Federal/US Government,2025-04-22,00095,
USGS,U.S. Geological Survey,"[""USGS"",""000031900""]",,,,,,USGS-09111250,"COAL CREEK ABV MCCORMICK DTCH AT CRESTED BUTTE, CO",Stream,,Colorado,United States of America,Gunnison County,US,CO,,14020001,140200010204,,,38.8715555555556,-106.985297222222,NAD83,38.8715555555556,-106.985297222222,NAD83,,cfe7b9ae-5025-419e-90a3-f24399bebbf1,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey,,,,,,,,,,,,,2021-01-25,15:30:00,MST,,,,,,,,,,,,40,USDOI/USGS,Multiple verticals,,Depth-integrated: Multiple verticals,Open-mouth bottle,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,Specific conductance,"Specific conductance, water, unfiltered, normalized to 25 degrees Celsius",,,Unfiltered,,,,,,,,,,,,,,,,,,,40c9a2f5-c900-4060-9dd5-b5b2211fa4b4,402,uS/cm,,Accepted,,,Actual,,,25 Deg C,,,,,,,,,,,,,,,,,,,,,SC001,USDOI/USGS,Specific conductance sensor,,"DESCRIPTION: Specific electrical conductance, field, contacting-type sensor; CITATION(S): U.S. Geological Survey, [variously dated], Specific electrical conductance, in National field manual for the collection of water-quality data: U.S. Geological Survey Techniques of Water-Resources Investigations, book 9, chap. A6.3, available online at https://www.usgs.gov/mission-areas/water-resources/science/national-field-manual-collection-water-quality-data-nfm. |<--->| USGS | I-1780-77",,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,,,,,,,,,,,USGS,,Physical,Federal/US Government,2025-04-22,00095,
USGS,U.S. Geological Survey,"[""USGS"",""000031900""]",,,,,,USGS-09111250,"COAL CREEK ABV MCCORMICK DTCH AT CRESTED BUTTE, CO",Stream,,Colorado,United States of America,Gunnison County,US,CO,,14020001,140200010204,,,38.8715555555556,-106.985297222222,NAD83,38.8715555555556,-106.985297222222,NAD83,,74dd860f-1064-48de-bef2-1995401829c2,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey,,,,,,,,,,,,,2020-07-20,11:15:00,MDT,,,,,,,,,,,,40,USDOI/USGS,Multiple verticals,,Depth-integrated: Multiple verticals,US DH-81,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,Specific conductance,"Specific conductance, water, unfiltered, normalized to 25 degrees Celsius",,,Unfiltered,,,,,,,,,,,,,,,,,,,0175a0b0-13ef-47fd-ad8a-50063a103c7a,209,uS/cm,,Accepted,,,Actual,,,25 Deg C,,,,,,,,,,,,,,,,,,,,,SC001,USDOI/USGS,Specific conductance sensor,,"DESCRIPTION: Specific electrical conductance, field, contacting-type sensor; CITATION(S): U.S. Geological Survey, [variously dated], Specific electrical conductance, in National field manual for the collection of water-quality data: U.S. Geological Survey Techniques of Water-Resources Investigations, book 9, chap. A6.3, available online at https://www.usgs.gov/mission-areas/water-resources/science/national-field-manual-collection-water-quality-data-nfm. |<--->| USGS | I-1780-77",,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,,,,,,,,,,,USGS,,Physical,Federal/US Government,2025-04-21,00095,
USGS,U.S. Geological Survey,"[""USGS"",""000031900""]",,,,,,USGS-09111250,"COAL CREEK ABV MCCORMICK DTCH AT CRESTED BUTTE, CO",Stream,,Colorado,United States of America,Gunnison County,US,CO,,14020001,140200010204,,,38.8715555555556,-106.985297222222,NAD83,38.8715555555556,-106.985297222222,NAD83,,c9004db2-b5b3-4c33-bd61-bc99321b11f1,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey,,,,,,,,,,,,,2020-01-13,12:45:00,MST,,,,,,,,,,,,40,USDOI/USGS,Multiple verticals,,Depth-integrated: Multiple verticals,Open-mouth bottle,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,Specific conductance,"Specific conductance, water, unfiltered, normalized to 25 degrees Celsius",,,Unfiltered,,,,,,,,,,,,,,,,,,,73e4352d-fb0f-4315-b3ae-989a78e30f6f,241,uS/cm,,Accepted,,,Actual,,,25 Deg C,,,,,,,,,,,,,,,,,,,,,SC001,USDOI/USGS,Specific conductance sensor,,"DESCRIPTION: Specific electrical conductance, field, contacting-type sensor; CITATION(S): U.S. Geological Survey, [variously dated], Specific electrical conductance, in National field manual for the collection of water-quality data: U.S. Geological Survey Techniques of Water-Resources Investigations, book 9, chap. A6.3, available online at https://www.usgs.gov/mission-areas/water-resources/science/national-field-manual-collection-water-quality-data-nfm. |<--->| USGS | I-1780-77",,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,,,,,,,,,,,USGS,,Physical,Federal/US Government,2025-04-21,00095,
USGS,U.S. Geological Survey,"[""USGS"",""000031900""]",,,,,,USGS-09111250,"COAL CREEK ABV MCCORMICK DTCH AT CRESTED BUTTE, CO",Stream,,Colorado,United States of America,Gunnison County,US,CO,,14020001,140200010204,,,38.8715555555556,-106.985297222222,NAD83,38.8715555555556,-106.985297222222,NAD83,,0cd63af2-9ccf-426a-929d-7d47e5037fc5,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey,,,,,,,,,,,,,2021-08-16,12:00:00,MDT,,,,,,,,,,,,40,USDOI/USGS,Multiple verticals,,Depth-integrated: Multiple verticals,Open-mouth bottle,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,Specific conductance,"Specific conductance, water, unfiltered, normalized to 25 degrees Celsius",,,Unfiltered,,,,,,,,,,,,,,,,,,,e2fe8409-13ce-42c7-b87a-b129dc166dd8,180,uS/cm,,Accepted,,,Actual,,,25 Deg C,,,,,,,,,,,,,,,,,,,,,SC001,USDOI/USGS,Specific conductance sensor,,"DESCRIPTION: Specific electrical conductance, field, contacting-type sensor; CITATION(S): U.S. Geological Survey, [variously dated], Specific electrical conductance, in National field manual for the collection of water-quality data: U.S. Geological Survey Techniques of Water-Resources Investigations, book 9, chap. A6.3, available online at https://www.usgs.gov/mission-areas/water-resources/science/national-field-manual-collection-water-quality-data-nfm. |<--->| USGS | I-1780-77",,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,,,,,,,,,,,USGS,,Physical,Federal/US Government,2025-04-22,00095,
USGS,U.S. Geological Survey,"[""USGS"",""000031900""]",,,,,,USGS-09111250,"COAL CREEK ABV MCCORMICK DTCH AT CRESTED BUTTE, CO",Stream,,Colorado,United States of America,Gunnison County,US,CO,,14020001,140200010204,,,38.8715555555556,-106.985297222222,NAD83,38.8715555555556,-106.985297222222,NAD83,,3561cd1f-5302-4a2a-b556-4367d5f2865b,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey-Water Resources Discipline, ,,,,,,,,,,,,2024-03-25,11:45:00,MDT,,,,,,,,,,,,40,USDOI/USGS,Multiple verticals,,Depth-integrated: Multiple verticals,Open-mouth bottle,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,Specific conductance,"Specific conductance, water, unfiltered, normalized to 25 degrees Celsius",,,Unfiltered,,,,,,,,,,,,,,,,,,,04328d42-bb65-450a-ae03-16b7776ed8a1,322,uS/cm,,Accepted,,,Actual,,,25 Deg C,,,,,,,,,,,,,,,,,,,,,SC001,USDOI/USGS,Specific conductance sensor,,"DESCRIPTION: Specific electrical conductance, field, contacting-type sensor; CITATION(S): U.S. Geological Survey, [variously dated], Specific electrical conductance, in National field manual for the collection of water-quality data: U.S. Geological Survey Techniques of Water-Resources Investigations, book 9, chap. A6.3, available online at https://www.usgs.gov/mission-areas/water-resources/science/national-field-manual-collection-water-quality-data-nfm. |<--->| USGS | I-1780-77",,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,,,,,,,,,,,USGS,,Physical,Federal/US Government,2025-04-21,00095,
USGS,U.S. Geological Survey,"[""USGS"",""000031900""]",,,,,,USGS-09111250,"COAL CREEK ABV MCCORMICK DTCH AT CRESTED BUTTE, CO",Stream,,Colorado,United States of America,Gunnison County,US,CO,,14020001,140200010204,,,38.8715555555556,-106.985297222222,NAD83,38.8715555555556,-106.985297222222,NAD83,,488fd2bc-81d4-4a76-9304-0a8688529352,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey-Water Resources Discipline, ,,,,,,,,,,,,2024-06-10,11:45:00,MDT,,,,,,,,,,,,40,USDOI/USGS,Multiple verticals,,Depth-integrated: Multiple verticals,Open-mouth bottle,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,Specific conductance,"Specific conductance, water, unfiltered, normalized to 25 degrees Celsius",,,Unfiltered,,,,,,,,,,,,,,,,,,,c24f29f1-4bd2-4ff5-92f3-43501b0727c3,54,uS/cm,,Accepted,,,Actual,,,25 Deg C,,,,,,,,,,,,,,,,,,,,,SC001,USDOI/USGS,Specific conductance sensor,,"DESCRIPTION: Specific electrical conductance, field, contacting-type sensor; CITATION(S): U.S. Geological Survey, [variously dated], Specific electrical conductance, in National field manual for the collection of water-quality data: U.S. Geological Survey Techniques of Water-Resources Investigations, book 9, chap. A6.3, available online at https://www.usgs.gov/mission-areas/water-resources/science/national-field-manual-collection-water-quality-data-nfm. |<--->| USGS | I-1780-77",,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,,,,,,,,,,,USGS,,Physical,Federal/US Government,2025-04-21,00095,
USGS,U.S. Geological Survey,"[""USGS"",""000031900""]",,,,,,USGS-09111250,"COAL CREEK ABV MCCORMICK DTCH AT CRESTED BUTTE, CO",Stream,,Colorado,United States of America,Gunnison County,US,CO,,14020001,140200010204,,,38.8715555555556,-106.985297222222,NAD83,38.8715555555556,-106.985297222222,NAD83,,54240dd1-b971-4be1-988e-30a0da00a7bd,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey-Water Resources Discipline, ,,,,,,,,,,,,2024-08-26,11:00:00,MDT,,,,,,,,,,,,40,USDOI/USGS,Multiple verticals,,Depth-integrated: Multiple verticals,Open-mouth bottle,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,Specific conductance,"Specific conductance, water, unfiltered, normalized to 25 degrees Celsius",,,Unfiltered,,,,,,,,,,,,,,,,,,,6faed756-adc4-427b-bd4a-fe10076c22ab,337,uS/cm,,Accepted,,,Actual,,,25 Deg C,,,,,,,,,,,,,,,,,,,,,SC001,USDOI/USGS,Specific conductance sensor,,"DESCRIPTION: Specific electrical conductance, field, contacting-type sensor; CITATION(S): U.S. Geological Survey, [variously dated], Specific electrical conductance, in National field manual for the collection of water-quality data: U.S. Geological Survey Techniques of Water-Resources Investigations, book 9, chap. A6.3, available online at https://www.usgs.gov/mission-areas/water-resources/science/national-field-manual-collection-water-quality-data-nfm. |<--->| USGS | I-1780-77",,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,,,,,,,,,,,USGS,,Physical,Federal/US Government,2025-04-21,00095,
USGS,U.S. Geological Survey,"[""USGS"",""000031900""]",,,,,,USGS-09111250,"COAL CREEK ABV MCCORMICK DTCH AT CRESTED BUTTE, CO",Stream,,Colorado,United States of America,Gunnison County,US,CO,,14020001,140200010204,,,38.8715555555556,-106.985297222222,NAD83,38.8715555555556,-106.985297222222,NAD83,,f626b057-6cf4-4f77-aa3a-e67f582bb2a3,,"Sample - Routine, with an associated replicate",Water,Surface water,,,,U.S. Geological Survey-Water Resources Discipline, ,,,,,,,,,,,,2024-09-16,11:30:00,MDT,,,,,,,,,,,,40,USDOI/USGS,Multiple verticals,,Depth-integrated: Multiple verticals,Open-mouth bottle,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,Specific conductance,"Specific conductance, water, unfiltered, normalized to 25 degrees Celsius",,,Unfiltered,,,,,,,,,,,,,,,,,,,16669f0f-f494-41d8-a60a-c189e02611d8,187,uS/cm,,Accepted,,,Actual,,,25 Deg C,,,,,,,,,,,,,,,,,,,,,SC001,USDOI/USGS,Specific conductance sensor,,"DESCRIPTION: Specific electrical conductance, field, contacting-type sensor; CITATION(S): U.S. Geological Survey, [variously dated], Specific electrical conductance, in National field manual for the collection of water-quality data: U.S. Geological Survey Techniques of Water-Resources Investigations, book 9, chap. A6.3, available online at https://www.usgs.gov/mission-areas/water-resources/science/national-field-manual-collection-water-quality-data-nfm. |<--->| USGS | I-1780-77",,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,,,,,,,,,,,,,,,USGS,,Physical,Federal/US Government,2025-04-22,00095,
USGS,U.S. Geological Survey,"[""USGS"",""000031900""]",,,,,,USGS-09111250,"COAL CREEK ABV MCCORMICK DTCH AT CRESTED BUTTE, CO",Stream,,Colorado,United States of America,Gunnison County,US,CO,,14020001,140200010204,,,38.8715555555556,-106.985297222222,NAD83,38.8715555555556,-106.985297222222,NAD83,,d09b16dc-696d-4003-82b7-404cbadb8582,,"Sample - Routine, regular",Water,Surface water,,,,U.S. Geological Survey-Water Resources Discipline, ,,,,,,,,,,,,2024-11-12,12:00:00,MST,,,,,,,,,,,,40,USDOI/USGS,Multiple verticals,,Depth-integrated: Multiple verticals,Open-mouth bottle,,,,,,,,,,,,,"Stable, normal stage",Routine sample,,,,,,Specific conductance,"Specific conductance, water, unfiltered, normalized to 25 degrees Celsius",,,Unfiltered,,,,,,,,,,,,,,,,,,,a6701bd4-a0a2-439d-9ebd-77f6d4f1f95f,211,uS/cm,,Provisional,,,Actual,,,25 Deg C,,,,,,,,,,,,,,,,,,,,,SC001,USDOI/USGS,Specific conductance sensor,,"DESCRIPTION: Specific electrical conductance, field, contacting-type sensor; CITATION(S): U.S. Geological Survey, [variously dated], Specific electrical conductance, in National field manual for the collection of water-quality data: U.S. Geological Survey Techniques of Water-Resources Investigations, book 9, chap. A6.3, available online at https://www.usgs.gov/mission-areas/water-resources/science/national-field-manual-collection-water-quality-data-nfm. |<--->| USGS | I-1780-77",,,,U.S. Geological Survey-Water Resources Discipline,2024-11-12,,,,,,,,,,,,,,,,,,,,,,USGS,,Physical,Federal/US Government,2025-04-21,00095,
